,Question,Generated Answer,bleu,precisions,brevity_penalty,length_ratio,translation_length,reference_length,rouge1,rouge2,rougeL,rougeLsum,BERT,Inference Time
10,Berapa jumlah panel relief yang menghiasi dinding Candi Borobudur?,"
Jumlah panel relief yang menghiasi dinding Candi Borobudur adalah 2.672.",0.0,"[0.5, 0.2222222222222222, 0.0, 0.0]",1.0,1.1111111111111112,10,9,0.7000000000000001,0.4444444444444445,0.5,0.5,[0.9258772134780884],20.01976752281189
11,Berapa jumlah arca Buddha yang menyertai Candi Borobudur?,"
Candi Borobudur memiliki 504 arca Buddha.",0.0,"[0.8333333333333334, 0.6, 0.25, 0.0]",0.846481724890614,0.8571428571428571,6,7,0.8333333333333334,0.6,0.8333333333333334,0.8333333333333334,[0.9788758754730225],14.165867805480957
12,Di mana stupa utama terbesar Candi Borobudur berada?,"
Stupa utama terbesar Candi Borobudur berada di tengah kompleks.",0.5535566902494308,"[0.8888888888888888, 0.875, 0.8571428571428571, 0.8333333333333334]",0.6411803884299546,0.6923076923076923,9,13,0.7999999999999999,0.7777777777777777,0.7999999999999999,0.7999999999999999,[0.879769504070282],16.629130840301514
13,Bagaimana stupa utama tersebut dihiasi?,"
Stupa utama dihiasi dengan bangunan tinggi yang melambangkan kekuatan dan keindahan Buddha. Bangunan tersebut terdiri dari enam teras berbentuk bujur sangkar dengan tiga pelataran melingkar, dan di dindingnya dihiasi dengan 2.672 panel relief. Relief tersebut mengg",0.0,"[0.20512820512820512, 0.02631578947368421, 0.0, 0.0]",1.0,1.3,39,30,0.21875,0.03225806451612904,0.15625,0.15625,[0.6877726912498474],67.28517079353333
14,Siapa yang menemukan kembali keberadaan Candi Borobudur pada tahun 1814?,"Candi Borobudur ditemukan kembali pada tahun 1814 oleh Sir Thomas Stamford Raffles, yang saat itu menjabat sebagai Gubernur Jenderal Inggris di Jawa.",0.4862438913464417,"[0.5217391304347826, 0.5, 0.47619047619047616, 0.45]",1.0,1.7692307692307692,23,13,0.7058823529411764,0.6875000000000001,0.7058823529411764,0.7058823529411764,[0.9160475730895996],43.065587520599365
15,Apa jabatan dari Sir Thomas Stamford Raffles?,Sir Thomas Stamford Raffles adalah seorang Gubernur Jenderal Inggris di Jawa.,0.35084396956386854,"[0.45454545454545453, 0.4, 0.3333333333333333, 0.25]",1.0,2.2,11,5,0.625,0.5714285714285715,0.625,0.625,[0.7201628684997559],18.314836740493774
16,Apa posisi dan mudra yang ditunjukkan oleh arca Buddha di dalam 72 stupa berlubang?,"
Arca Buddha di dalam 72 stupa berlubang di Borobudur memiliki posisi teratai sempurna dengan mudra Dharmachakra (memutar roda dharma).",0.6364058876086588,"[0.8095238095238095, 0.7, 0.5789473684210527, 0.5]",1.0,1.0,21,21,0.8108108108108109,0.6857142857142857,0.8108108108108109,0.8108108108108109,[0.9076743125915527],36.87902069091797
17,Kapan Candi Borobudur ditinggalkan?,"
Candi Borobudur ditinggalkan pada abad ke-10 ketika pusat Kerajaan Mataram Kuno dipindahkan ke Jawa Timur oleh Pu Sindok.",0.2646015952359329,"[0.3333333333333333, 0.29411764705882354, 0.25, 0.2]",1.0,3.0,18,6,0.5384615384615384,0.5,0.5384615384615384,0.5384615384615384,[0.8177922964096069],33.848015546798706
18,Mengapa Candi Borobudur ditinggalkan,"
Candi Borobudur ditinggalkan pada abad ke-10 ketika pusat Kerajaan Mataram Kuno dipindahkan ke Jawa Timur oleh Pu Sindok. Peninggiannya menyebabkan pusat pemerintahan dipindahkan ke Jawa Timur, yang menyebabkan penggundulan Candi Borobudur.",0.4711277936270114,"[0.5454545454545454, 0.5, 0.45161290322580644, 0.4]",1.0,1.65,33,20,0.6923076923076923,0.6399999999999999,0.6923076923076923,0.6923076923076923,[0.9591348767280579],67.20255494117737
19,Apa peran Candi Borobudur dalam kehidupan keagamaan saat ini?,"
Candi Borobudur memainkan peran penting dalam kehidupan keagamaan saat ini. Ini adalah tempat ziarah keagamaan yang dihadiri oleh umat Buddha dari seluruh Indonesia dan mancanegara. Setiap tahun, umat Buddha berkumpul di tempat ini untuk memperingati",0.21337164315192741,"[0.4473684210526316, 0.24324324324324326, 0.16666666666666666, 0.11428571428571428]",1.0,1.4615384615384615,38,26,0.5172413793103448,0.3214285714285714,0.48275862068965525,0.48275862068965525,"{'error': 'Model firqaaa/indo-sentence-bert-base is currently loading', 'estimated_time': 20.0}",68.17938232421875
20,Dimana letak Candi Borobudur?,"Candi Borobudur terletak di Magelang, Jawa Tengah, Indonesia.",1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,10,10,1.0,1.0,1.0,1.0,[1.0000001192092896],15.229156970977783
21,Kapan Candi Borobudur dibangun?,Candi Borobudur dibangun pada abad ke-9 oleh Dinasti Sailendra.,0.5873949094699213,"[0.6666666666666666, 0.625, 0.5714285714285714, 0.5]",1.0,1.5,9,6,0.8235294117647058,0.8,0.8235294117647058,0.8235294117647058,[0.878574550151825],18.120320081710815
22,Siapa yang membangun Candi Borobudur?,Candi Borobudur dibangun oleh Dinasti Sailendra pada abad ke-9.,0.5873949094699213,"[0.6666666666666666, 0.625, 0.5714285714285714, 0.5]",1.0,1.5,9,6,0.7499999999999999,0.7142857142857143,0.7499999999999999,0.7499999999999999,[0.9669607281684875],18.063109636306763
23,Apa fungsi utama Candi Borobudur?,"
Fungsi utama Candi Borobudur adalah sebagai tempat ibadah dan karya arsitektur yang menakjubkan. Ini didirikan pada abad ke-9 oleh Dinasti Sailendra dan terdiri dari sembilan platform bertingkat, setiap tingkatnya dihiasi dengan relief batu kompleks yang mencerit",0.0,"[0.13157894736842105, 0.08108108108108109, 0.027777777777777776, 0.0]",1.0,4.75,38,8,0.22222222222222224,0.13953488372093023,0.22222222222222224,0.22222222222222224,[0.7507358193397522],64.29823589324951
24,"Selain menjadi tempat ibadah ajaran Buddha, apa fungsi Candi Borobudur?","Candi Borobudur juga merupakan karya arsitektur yang menakjubkan, dan merupakan contoh arsitektur Indonesia yang mencerminkan perpaduan antara arsitektur India dan Indonesia. Bangunan ini terdiri dari sembilan platform bertingkat, setiap tingkatnya dihiasi dengan relief batu kompleks y",0.0,"[0.15789473684210525, 0.05405405405405406, 0.027777777777777776, 0.0]",1.0,2.923076923076923,38,13,0.17391304347826086,0.0909090909090909,0.17391304347826086,0.17391304347826086,[0.7645511031150818],65.42959475517273
25,"Bagaimana deskripsi suasana di sekitar Candi Borobudur, khususnya di puncak bukit?","
Suasana di sekitar Candi Borobudur, khususnya di puncak bukit, sangat menakjubkan. Hutan hijau yang menciptakan suasana damai dan menenangkan menjulang di sekitar bangunan megah ini. Puncak bukit dipenuhi dengan bangunan yang menampung bangunan utama, y",0.15894780290856195,"[0.3076923076923077, 0.18421052631578946, 0.13513513513513514, 0.08333333333333333]",1.0,2.2941176470588234,39,17,0.40816326530612246,0.2553191489361702,0.36734693877551017,0.36734693877551017,[0.8280829787254333],65.76230478286743
26,Apa yang membuat Candi Borobudur menjadi sebuah keajaiban arsitektur?,"
Candi Borobudur adalah keajaiban arsitektur karena berbagai faktor. Pertama, kompleks ini terdiri dari sembilan platform bertingkat, setiap tingkatnya dihiasi dengan relief batu kompleks yang menceritakan ajaran Buddha dan cerita rakyat Jawa. Kompleks ini terdi",0.0,"[0.18421052631578946, 0.08108108108108109, 0.027777777777777776, 0.0]",1.0,2.533333333333333,38,15,0.25,0.13043478260869568,0.25,0.25,[0.7903391718864441],65.40016603469849
27,Berapa jumlah platform bertingkat yang dimiliki oleh Candi Borobudur?,Candi Borobudur memiliki sembilan platform bertingkat.,0.846481724890614,"[1.0, 1.0, 1.0, 1.0]",0.846481724890614,0.8571428571428571,6,7,1.0,1.0,1.0,1.0,[0.9949929714202881],12.87476634979248
28,Apa yang dihiasi oleh relief batu yang kompleks di setiap tingkat Candi Borobudur?,Relief batu yang kompleks di setiap tingkat Candi Borobudur menceritakan ajaran Buddha dan cerita rakyat Jawa.,0.4578831372133982,"[0.625, 0.5333333333333333, 0.42857142857142855, 0.3076923076923077]",1.0,1.3333333333333333,16,12,0.7407407407407406,0.64,0.7407407407407406,0.7407407407407406,[0.918713390827179],27.77874207496643
29,Bagaimana struktur kompleks Candi Borobudur terdiri?,"
Candi Borobudur terdiri dari sembilan platform bertingkat, setiap tingkatnya dihiasi dengan relief batu kompleks yang menceritakan ajaran Buddha dan cerita rakyat Jawa. Kompleks ini terdiri dari enam teras berbentuk bujur sangkar dengan tiga pelataran melingkar, di",0.3082398735234032,"[0.38461538461538464, 0.3157894736842105, 0.2972972972972973, 0.25]",1.0,2.4375,39,16,0.5490196078431373,0.4897959183673469,0.5098039215686274,0.5098039215686274,[0.8997893333435059],64.72759079933167
30,Berapa jumlah panel relief yang menghiasi dinding Candi Borobudur?,"
Jumlah panel relief yang menghiasi dinding Candi Borobudur adalah 2.672.",0.0,"[0.5, 0.2222222222222222, 0.0, 0.0]",1.0,1.1111111111111112,10,9,0.7000000000000001,0.4444444444444445,0.5,0.5,[0.9258772134780884],19.16564440727234
31,Berapa jumlah arca Buddha yang menyertai Candi Borobudur?,"
Candi Borobudur terdiri dari enam teras berbentuk bujur sangkar dengan tiga pelataran melingkar, dihiasi dengan 2.672 panel relief, dan aslinya mengandung 504 arca Buddha. Stupa utama terbesar berada di tengah, memuncakkan bangunan ini, dikelilingi o",0.07022183955845689,"[0.15384615384615385, 0.10526315789473684, 0.05405405405405406, 0.027777777777777776]",1.0,5.571428571428571,39,7,0.2439024390243902,0.15384615384615385,0.2439024390243902,0.2439024390243902,[0.8151915073394775],65.08368039131165
32,Di mana stupa utama terbesar Candi Borobudur berada?,"
Stupa utama terbesar Candi Borobudur berada di tengah kompleks.",0.5535566902494308,"[0.8888888888888888, 0.875, 0.8571428571428571, 0.8333333333333334]",0.6411803884299546,0.6923076923076923,9,13,0.7999999999999999,0.7777777777777777,0.7999999999999999,0.7999999999999999,[0.879769504070282],15.974451065063477
33,Bagaimana stupa utama tersebut dihiasi?,"
Stupa utama Borobudur terdiri dari enam teras berbentuk bujur sangkar dengan tiga pelataran melingkar, dihiasi dengan 2.672 panel relief. Relief tersebut menceritakan ajaran Buddha dan cerita rakyat Jawa. Kompleks ini terdiri dari enam teras berbentuk bujur sang",0.0,"[0.175, 0.02564102564102564, 0.0, 0.0]",1.0,1.3333333333333333,40,30,0.18461538461538463,0.031746031746031744,0.15384615384615383,0.15384615384615383,[0.7256391048431396],64.73835873603821
34,Siapa yang menemukan kembali keberadaan Candi Borobudur pada tahun 1814?,"
Candi Borobudur ditemukan kembali pada tahun 1814 oleh Sir Thomas Stamford Raffles, yang saat itu menjabat sebagai Gubernur Jenderal Inggris di Jawa.",0.4862438913464417,"[0.5217391304347826, 0.5, 0.47619047619047616, 0.45]",1.0,1.7692307692307692,23,13,0.7058823529411764,0.6875000000000001,0.7058823529411764,0.7058823529411764,[0.9160475730895996],41.22369027137756
35,Apa jabatan dari Sir Thomas Stamford Raffles?,Sir Thomas Stamford Raffles adalah Gubernur Jenderal Inggris di Jawa.,0.392814650900513,"[0.5, 0.4444444444444444, 0.375, 0.2857142857142857]",1.0,2.0,10,5,0.6666666666666666,0.6153846153846153,0.6666666666666666,0.6666666666666666,[0.7257852554321289],15.98870849609375
36,Apa posisi dan mudra yang ditunjukkan oleh arca Buddha di dalam 72 stupa berlubang?,"
Arca Buddha di dalam 72 stupa berlubang di Borobudur berposisi teratai dengan mudra Dharmachakra (memutar roda dharma).",0.4862026641731853,"[0.7894736842105263, 0.6111111111111112, 0.47058823529411764, 0.375]",0.9000876262522594,0.9047619047619048,19,21,0.7428571428571428,0.5454545454545455,0.7428571428571428,0.7428571428571428,[0.9319891929626465],30.322553634643555
37,Kapan Candi Borobudur ditinggalkan?,"
Candi Borobudur ditinggalkan pada abad ke-10, setelah pusat Kerajaan Mataram Kuno dipindahkan ke Jawa Timur oleh Pu Sindok.",0.24941747177008258,"[0.3157894736842105, 0.2777777777777778, 0.23529411764705882, 0.1875]",1.0,3.1666666666666665,19,6,0.5384615384615384,0.5,0.5384615384615384,0.5384615384615384,"{'error': 'Model firqaaa/indo-sentence-bert-base is currently loading', 'estimated_time': 20.0}",32.97471857070923
38,Mengapa Candi Borobudur ditinggalkan,"
Candi Borobudur ditinggalkan pada abad ke-10, menurut sejarah. Penyebabnya tidak diketahui secara pasti, namun beberapa teori menyatakan bahwa penggundulan tersebut disebabkan oleh perubahan politik atau kehidupan ekonomi. Salah satu teori men",0.13980013456664697,"[0.22857142857142856, 0.14705882352941177, 0.12121212121212122, 0.09375]",1.0,1.75,35,20,0.3076923076923077,0.24000000000000002,0.3076923076923077,0.3076923076923077,[0.5969852805137634],64.1985228061676
39,Apa peran Candi Borobudur dalam kehidupan keagamaan saat ini?,"
Candi Borobudur memainkan peran penting dalam kehidupan keagamaan saat ini. Ini adalah tempat ziarah keagamaan yang dihadiri oleh umat Buddha dari seluruh Indonesia dan luar negeri. Setiap tahun, umat Buddha berkumpul di tempat ini untuk merayakan",0.17659857710927052,"[0.41025641025641024, 0.21052631578947367, 0.13513513513513514, 0.08333333333333333]",1.0,1.5,39,26,0.47457627118644075,0.2807017543859649,0.44067796610169496,0.44067796610169496,[0.89713454246521],65.31373167037964
40,Dimana letak Candi Borobudur?,"Candi Borobudur terletak di Magelang, Jawa Tengah, Indonesia.",1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,10,10,1.0,1.0,1.0,1.0,[1.0000001192092896],15.799283981323242
41,Kapan Candi Borobudur dibangun?,Candi Borobudur dibangun pada abad ke-9 oleh Dinasti Sailendra.,0.5873949094699213,"[0.6666666666666666, 0.625, 0.5714285714285714, 0.5]",1.0,1.5,9,6,0.8235294117647058,0.8,0.8235294117647058,0.8235294117647058,[0.878574550151825],19.038657903671265
42,Siapa yang membangun Candi Borobudur?,Candi Borobudur dibangun oleh Dinasti Sailendra pada abad ke-9.,0.5873949094699213,"[0.6666666666666666, 0.625, 0.5714285714285714, 0.5]",1.0,1.5,9,6,0.7499999999999999,0.7142857142857143,0.7499999999999999,0.7499999999999999,[0.9669607281684875],19.093364715576172
43,Apa fungsi utama Candi Borobudur?,"
Candi Borobudur adalah sebuah monumen bersejarah yang merupakan simbol kekayaan budaya Indonesia. Dibangun pada abad ke-9 oleh Dinasti Sailendra, candi ini awalnya berfungsi sebagai tempat ibadah Buddha, tetapi juga memiliki nilai arsitektur yang luar bias",0.0,"[0.15789473684210525, 0.08108108108108109, 0.027777777777777776, 0.0]",1.0,4.75,38,8,0.27272727272727276,0.14285714285714285,0.27272727272727276,0.27272727272727276,[0.7941603660583496],67.8746874332428
44,"Selain menjadi tempat ibadah ajaran Buddha, apa fungsi Candi Borobudur?","Candi Borobudur juga merupakan simbol kekayaan budaya Indonesia. Dibangun pada abad ke-9 oleh Dinasti Sailendra, dan merupakan contoh arsitektur yang luar biasa. Candi ini terletak di puncak bukit yang dikelilingi oleh pepohonan hijau, dan memiliki sembilan",0.0,"[0.15, 0.05128205128205128, 0.02631578947368421, 0.0]",1.0,3.076923076923077,40,13,0.16666666666666669,0.08695652173913045,0.16666666666666669,0.16666666666666669,[0.7629442811012268],69.17427945137024
45,"Bagaimana deskripsi suasana di sekitar Candi Borobudur, khususnya di puncak bukit?","
Candi Borobudur terletak di puncak bukit, yang menjadikannya tempat yang indah dan menakjubkan. Puncak bukit dipenuhi pepohonan hijau, menambah kedalaman dan keindahan pemandangan. Pemandangan sekitar Candi Borobudur juga menampilkan pemandangan yang",0.08700223397019134,"[0.2571428571428571, 0.11764705882352941, 0.06060606060606061, 0.03125]",1.0,2.0588235294117645,35,17,0.3043478260869565,0.13636363636363638,0.26086956521739135,0.26086956521739135,[0.7246014475822449],69.39991021156311
46,Apa yang membuat Candi Borobudur menjadi sebuah keajaiban arsitektur?,"
Candi Borobudur adalah keajaiban arsitektur karena kombinasi arsitektur Indonesia dan seni India yang unik. Dibangun pada abad ke-9 oleh Dinasti Sailendra, dan terletak di puncak bukit yang dikelilingi oleh pepohonan hijau. Candi ini memiliki sembilan tingkat y",0.13583266175611605,"[0.3076923076923077, 0.18421052631578946, 0.10810810810810811, 0.05555555555555555]",1.0,2.6,39,15,0.43137254901960786,0.28571428571428575,0.39215686274509803,0.39215686274509803,[0.8212653994560242],69.10261297225952
47,Berapa jumlah platform bertingkat yang dimiliki oleh Candi Borobudur?,Candi Borobudur memiliki sembilan tingkat yang dihiasi dengan relief batu yang kompleks.,0.21200626759025185,"[0.3333333333333333, 0.2727272727272727, 0.2, 0.1111111111111111]",1.0,1.7142857142857142,12,7,0.4444444444444444,0.37499999999999994,0.4444444444444444,0.4444444444444444,[0.8246220946311951],22.818844318389893
48,Apa yang dihiasi oleh relief batu yang kompleks di setiap tingkat Candi Borobudur?,"
Relief batu yang kompleks di setiap tingkat Candi Borobudur menggambarkan ajaran Buddha dan cerita rakyat Jawa. Relief-relief ini terdiri dari 2.672 panel, dan aslinya memiliki 504 arca Buddha. Relief batu yang kompleks di setiap tingkat Cand",0.2324167980578978,"[0.3076923076923077, 0.2631578947368421, 0.21621621621621623, 0.16666666666666666]",1.0,3.25,39,12,0.4489795918367347,0.3829787234042553,0.4489795918367347,0.4489795918367347,[0.7343489527702332],69.24702024459839
49,Bagaimana struktur kompleks Candi Borobudur terdiri?,"
Candi Borobudur terdiri dari enam teras berbentuk bujur sangkar dengan tiga pelataran melingkar. Dindingnya dihiasi dengan 2.672 panel relief, dan aslinya memiliki 504 arca Buddha. Stupa utama terbesar berada di tengah, dikelilingi oleh tiga barisan meling",0.32350712494061856,"[0.35, 0.3333333333333333, 0.3157894736842105, 0.2972972972972973]",1.0,2.5,40,16,0.5000000000000001,0.48,0.5000000000000001,0.5000000000000001,[0.919899046421051],68.47321891784668
50,Berapa jumlah panel relief yang menghiasi dinding Candi Borobudur?,"
Jumlah panel relief yang menghiasi dinding Candi Borobudur adalah 2.672.",0.0,"[0.5, 0.2222222222222222, 0.0, 0.0]",1.0,1.1111111111111112,10,9,0.7000000000000001,0.4444444444444445,0.5,0.5,[0.9258772134780884],20.549469709396362
51,Berapa jumlah arca Buddha yang menyertai Candi Borobudur?,"
Candi Borobudur memiliki 504 arca Buddha.",0.0,"[0.8333333333333334, 0.6, 0.25, 0.0]",0.846481724890614,0.8571428571428571,6,7,0.8333333333333334,0.6,0.8333333333333334,0.8333333333333334,[0.9788758754730225],14.718986511230469
52,Di mana stupa utama terbesar Candi Borobudur berada?,"
Stupa utama terbesar Candi Borobudur berada di tengah kompleks candi.",0.5629001206548859,"[0.8, 0.7777777777777778, 0.75, 0.7142857142857143]",0.740818220681718,0.7692307692307693,10,13,0.761904761904762,0.7368421052631577,0.761904761904762,0.761904761904762,[0.8644826412200928],18.56986403465271
53,Bagaimana stupa utama tersebut dihiasi?,"
Stupa utama Candi Borobudur dihiasi dengan 2.672 panel relief yang menggambarkan ajaran Buddha dan cerita rakyat Jawa. Relief-relief ini terdiri dari 504 arca Buddha. Stupa utama terbesar berada di tengah, dikelilingi oleh tiga barisan melingkar ",0.12748893606628386,"[0.34210526315789475, 0.16216216216216217, 0.08333333333333333, 0.05714285714285714]",1.0,1.2666666666666666,38,30,0.40625,0.1935483870967742,0.21875,0.21875,"{'error': 'Model firqaaa/indo-sentence-bert-base is currently loading', 'estimated_time': 20.0}",68.15759801864624
54,Siapa yang menemukan kembali keberadaan Candi Borobudur pada tahun 1814?,"Candi Borobudur ditemukan kembali pada tahun 1814 oleh Sir Thomas Stamford Raffles, yang saat itu menjabat sebagai Gubernur Jenderal Inggris di Jawa.",0.4862438913464417,"[0.5217391304347826, 0.5, 0.47619047619047616, 0.45]",1.0,1.7692307692307692,23,13,0.7058823529411764,0.6875000000000001,0.7058823529411764,0.7058823529411764,[0.9160475730895996],43.518900871276855
55,Apa jabatan dari Sir Thomas Stamford Raffles?,Sir Thomas Stamford Raffles adalah Gubernur Jenderal Inggris di Jawa.,0.392814650900513,"[0.5, 0.4444444444444444, 0.375, 0.2857142857142857]",1.0,2.0,10,5,0.6666666666666666,0.6153846153846153,0.6666666666666666,0.6666666666666666,[0.7257852554321289],16.83448624610901
56,Apa posisi dan mudra yang ditunjukkan oleh arca Buddha di dalam 72 stupa berlubang?,"
Arca Buddha di dalam 72 stupa berlubang di Candi Borobudur menampung arca Buddha tengah duduk bersila dalam posisi teratai sempurna dengan mudra Dharmachakra (memutar roda dharma).",0.583899712825618,"[0.7142857142857143, 0.6296296296296297, 0.5384615384615384, 0.48]",1.0,1.3333333333333333,28,21,0.8181818181818181,0.7142857142857143,0.8181818181818181,0.8181818181818181,[0.9487343430519104],49.803117513656616
57,Kapan Candi Borobudur ditinggalkan?,Candi Borobudur ditinggalkan pada abad ke-10 ketika pusat Kerajaan Mataram Kuno dipindahkan ke Jawa Timur.,0.3237722713145643,"[0.4, 0.35714285714285715, 0.3076923076923077, 0.25]",1.0,2.5,15,6,0.6086956521739131,0.5714285714285715,0.6086956521739131,0.6086956521739131,[0.8551830053329468],28.866939544677734
58,Mengapa Candi Borobudur ditinggalkan,"
Candi Borobudur ditinggalkan pada abad ke-10 ketika pusat Kerajaan Mataram Kuno dipindahkan ke Jawa Timur. Hal ini terjadi karena beberapa alasan, termasuk perubahan politik dan ekonomi, serta perubahan agama. Pada saat itu, pusat kerajaan telah dipindahkan",0.28195174773897363,"[0.3902439024390244, 0.3, 0.2564102564102564, 0.21052631578947367]",1.0,2.05,41,20,0.5614035087719298,0.4727272727272728,0.5263157894736842,0.5263157894736842,[0.8593776226043701],68.00934791564941
59,Apa peran Candi Borobudur dalam kehidupan keagamaan saat ini?,"
Candi Borobudur memainkan peran penting dalam kehidupan keagamaan saat ini, terutama bagi umat Buddha. Ini adalah tempat ziarah keagamaan yang populer di Indonesia, dan setiap tahun, umat Buddha berkumpul di sana untuk memperingati Trisuci Waisak, hari",0.11167345096461645,"[0.43902439024390244, 0.175, 0.07692307692307693, 0.02631578947368421]",1.0,1.5769230769230769,41,26,0.5084745762711865,0.2807017543859649,0.44067796610169496,0.44067796610169496,[0.9274402856826782],68.9377031326294
60,Dimana letak Candi Borobudur?,"Candi Borobudur terletak di Magelang, Jawa Tengah, Indonesia.",1.0,"[1.0, 1.0, 1.0, 1.0]",1.0,1.0,10,10,1.0,1.0,1.0,1.0,[1.0000001192092896],15.384641170501709
61,Kapan Candi Borobudur dibangun?,Candi Borobudur dibangun pada abad ke-9 oleh Dinasti Sailendra.,0.5873949094699213,"[0.6666666666666666, 0.625, 0.5714285714285714, 0.5]",1.0,1.5,9,6,0.8235294117647058,0.8,0.8235294117647058,0.8235294117647058,[0.878574550151825],18.411985874176025
62,Siapa yang membangun Candi Borobudur?,Candi Borobudur dibangun oleh Dinasti Sailendra pada abad ke-9.,0.5873949094699213,"[0.6666666666666666, 0.625, 0.5714285714285714, 0.5]",1.0,1.5,9,6,0.7499999999999999,0.7142857142857143,0.7499999999999999,0.7499999999999999,[0.9669607281684875],18.396231412887573
