,Question,Generated Answer,bleu,precisions,brevity_penalty,length_ratio,translation_length,reference_length,rouge1,rouge2,rougeL,rougeLsum,BERT,Inference Time
10,Berapa jumlah panel relief yang menghiasi dinding Candi Borobudur?, Candi Borobudur memiliki 2.672 panel relief yang menghiasi dinding candi tersebut.,0.3692744729379982,"[0.5, 0.2727272727272727]",1.0,1.3333333333333333,12,9,0.6666666666666666,0.5263157894736842,0.5714285714285715,0.5714285714285715,[0.9501838088035583],5.762304306030273
11,Berapa jumlah arca Buddha yang menyertai Candi Borobudur?, Candi Borobudur memiliki 504 arca Buddha yang menyertai kompleks ini.,0.40451991747794525,"[0.5454545454545454, 0.3]",1.0,1.5714285714285714,11,7,0.625,0.42857142857142855,0.625,0.625,[0.9503613710403442],5.469710826873779
12,Di mana stupa utama terbesar Candi Borobudur berada?," Stupa utama terbesar Candi Borobudur berada di tengah, memahkotai bangunan ini, dan dikelilingi oleh tiga pelataran melingkar.",0.6134458325505882,"[0.65, 0.5789473684210527]",1.0,1.5384615384615385,20,13,0.7857142857142858,0.7692307692307693,0.7857142857142858,0.7857142857142858,[0.9478712677955627],7.533605575561523
13,Bagaimana stupa utama tersebut dihiasi?," Stupa utama Borobudur dihiasi dengan relief batu yang menggambarkan ajaran Buddha dan cerita rakyat Jawa. Di setiap tingkatnya dihiasi dengan relief batu yang kompleks, menggambarkan ajaran Buddha dan cerita rakyat Jawa. Relief-relief tersebut menggambarkan adegan-adegan dari kehidupan Buddha, adegan-adegan dari kehidupan Buddha sebelum kelahiran, adegan-adegan dari kehidupan Buddha setelah kelahiran, adegan-adegan dari kehidupan Buddha di masa dewasa, adegan-adegan dari kehidupan Buddha di masa pencerahan, adegan-adegan dari kehidupan Buddha di masa pencerahan kedua, adegan-adegan dari kehidupan Buddha di masa pencerahan ketiga, adegan-adegan dari kehidupan Buddha di masa pencerahan keempat, adegan-adegan dari kehidupan Buddha di masa pencerahan kelima, adegan-adegan dari kehidupan Buddha di masa pencerahan keenam, adegan-adegan dari kehidupan Buddha di masa pencerahan ketujuh, adegan-adegan dari kehidupan Buddha di masa pencerahan kedelapan, adegan-adegan dari kehidupan Buddha di masa pencerahan kesembilan, dan adegan-adegan dari kehidupan Buddha di masa pencerahan kesepuluh. Selain itu, relief-relief tersebut juga menggambarkan cerita rakyat Jawa, seperti cerita tentang Roro Jonggrang, cerita tentang Raden Panji, dan cerita tentang Nyai Roro Kidul.",0.013421911977483967,"[0.03278688524590164, 0.005494505494505495]",1.0,6.1,183,30,0.049019607843137254,0.009900990099009901,0.049019607843137254,0.049019607843137254,[0.5715598464012146],39.652459383010864
14,Siapa yang menemukan kembali keberadaan Candi Borobudur pada tahun 1814?," Borobudur adalah sebuah monumen megah yang terletak di Magelang, Jawa Tengah, Indonesia. Candi ini dibangun pada abad ke-9 oleh Dinasti Sailendra dan tidak hanya berfungsi sebagai tempat ibadah, melainkan juga sebagai keajaiban arsitektur yang memukau. Berdiri elegan di puncak bukit, candi ini dikelilingi oleh pepohonan hijau yang menciptakan suasana damai. Keindahan struktur ini tercermin dalam perpaduan unik antara arsitektur Indonesia dan seni India. Candi ini memiliki sembilan platform bertingkat, di setiap tingkatnya dihiasi dengan relief batu yang kompleks, menggambarkan ajaran Buddha dan cerita rakyat Jawa. Kompleks ini terdiri dari enam teras berbentuk bujur sangkar dengan tiga pelataran melingkar, di dindingnya dihiasi dengan 2.672 panel relief, dan aslinya menyertakan 504 arca Buddha. Stupa utama terbesar berada di tengah, memahkotai bangunan ini, dan dikelilingi oleh tiga barisan melingkar 72 stupa berlubang yang menampung arca Buddha tengah duduk bersila dalam posisi teratai sempurna dengan mudra Dharmachakra (memutar roda dharma). Sejarah mencatat bahwa Borobudur ditinggalkan pada abad ke-10 ketika pusat Kerajaan Mataram Kuno dipindahkan ke Jawa Timur oleh Pu Sindok. Kesadaran dunia terhadap keberadaan candi ini muncul setelah penemuan pada tahun 1814 oleh Sir Thomas Stamford Raffles, yang saat itu menjabat sebagai Gubernur Jenderal Inggris di Jawa. Hingga kini, Borobudur masih menjadi tempat ziarah keagamaan, di mana setiap tahun umat Buddha dari seluruh Indonesia dan mancanegara berkumpul untuk memperingati Trisuci Waisak.",0.0363353341388035,"[0.045454545454545456, 0.029045643153526972]",1.0,18.615384615384617,242,13,0.08620689655172414,0.06086956521739131,0.08620689655172414,0.08620689655172414,[0.651989758014679],46.99341297149658
15,Apa jabatan dari Sir Thomas Stamford Raffles?, Raffles adalah Gubernur Jenderal Inggris di Jawa pada tahun 1814.,0.4264014327112209,"[0.45454545454545453, 0.4]",1.0,2.2,11,5,0.6666666666666666,0.6153846153846153,0.6666666666666666,0.6666666666666666,[0.6960520148277283],6.311148166656494
16,Apa posisi dan mudra yang ditunjukkan oleh arca Buddha di dalam 72 stupa berlubang?," Arca Buddha di dalam 72 stupa berlubang menunjukkan posisi dan mudra Dharmachakra, yaitu memutar roda dharma.",0.461612509254297,"[0.7222222222222222, 0.4117647058823529]",0.846481724890614,0.8571428571428571,18,21,0.7058823529411765,0.43749999999999994,0.7058823529411765,0.7058823529411765,[0.9186148047447205],6.845850944519043
17,Kapan Candi Borobudur ditinggalkan?, Candi Borobudur ditinggalkan pada abad ke-10 ketika pusat Kerajaan Mataram Kuno dipindahkan ke Jawa Timur oleh Pu Sindok.,0.2961744388795462,"[0.3157894736842105, 0.2777777777777778]",1.0,3.1666666666666665,19,6,0.5384615384615384,0.5,0.5384615384615384,0.5384615384615384,[0.8186888098716736],7.301937103271484
18,Mengapa Candi Borobudur ditinggalkan, Candi Borobudur ditinggalkan pada abad ke-10 ketika pusat Kerajaan Mataram Kuno dipindahkan ke Jawa Timur oleh Pu Sindok.,0.8706138796104296,"[0.9473684210526315, 0.8888888888888888]",0.9487294800164372,0.95,19,20,0.9230769230769231,0.8648648648648649,0.9230769230769231,0.9230769230769231,[0.9916223287582397],9.371134519577026
19,Apa peran Candi Borobudur dalam kehidupan keagamaan saat ini?," Candi Borobudur memainkan peran penting dalam kehidupan keagamaan saat ini. Sebagai salah satu situs warisan budaya dunia, Borobudur telah menjadi tempat ziarah keagamaan bagi umat Buddha dari seluruh Indonesia dan mancanegara. Setiap tahun, umat Buddha berkumpul untuk memperingati Trisuci Waisak, yaitu perayaan ulang tahun Buddha yang lahir di bawah pohon beringin. Selain itu, Borobudur juga menjadi tempat wisata yang populer, di mana wisatawan dari seluruh dunia berkunjung untuk menikmati keindahan arsitektur dan keunikan situs ini.",0.22974455120123133,"[0.27380952380952384, 0.1927710843373494]",1.0,3.230769230769231,84,26,0.40816326530612246,0.3125,0.36734693877551017,0.36734693877551017,[0.9084657430648804],19.10977077484131
20,Dimana letak Candi Borobudur?," Candi Borobudur terletak di Magelang, Jawa Tengah, Indonesia.",0.9045340337332909,"[0.9090909090909091, 0.9]",1.0,1.1,11,10,1.0,1.0,1.0,1.0,[0.9973240494728088],5.580087661743164
21,Kapan Candi Borobudur dibangun?, Candi Borobudur dibangun pada abad ke-9 oleh Dinasti Sailendra.,0.5773502691896258,"[0.6, 0.5555555555555556]",1.0,1.6666666666666667,10,6,0.8235294117647058,0.8,0.8235294117647058,0.8235294117647058,[0.8774054646492004],5.475680589675903
22,Siapa yang membangun Candi Borobudur?, Candi Borobudur dibangun oleh Dinasti Sailendra pada abad ke-9.,0.5773502691896258,"[0.6, 0.5555555555555556]",1.0,1.6666666666666667,10,6,0.7499999999999999,0.7142857142857143,0.7499999999999999,0.7499999999999999,[0.9621791243553162],5.501061201095581
23,Apa fungsi utama Candi Borobudur?," Candi Borobudur adalah sebuah monumen megah yang mencitrakan kekayaan warisan budaya daerah tersebut. Didirikan pada abad ke-9 oleh Dinasti Sailendra, bangunan ini bukan hanya tempat ibadah, tetapi juga karya arsitektur yang menakjubkan. Elegan berdiri di puncak bukit, candi ini dikelilingi oleh hutan hijau yang menciptakan suasana damai. Keindahan strukturnya tercermin dalam perpaduan antara arsitektur Indonesia dan seni India.",0.04385290096535146,"[0.06153846153846154, 0.03125]",1.0,8.125,65,8,0.11940298507462686,0.06153846153846154,0.11940298507462686,0.11940298507462686,[0.6721821427345276],15.723206758499146
24,"Selain menjadi tempat ibadah ajaran Buddha, apa fungsi Candi Borobudur?"," Candi Borobudur tidak hanya menjadi tempat ibadah ajaran Buddha, tetapi juga memiliki fungsi sebagai monumen megah yang mencitrakan kekayaan warisan budaya daerah tersebut. Candi ini bukan hanya tempat ibadah, tetapi juga karya arsitektur yang menakjubkan. Elegan berdiri di puncak bukit, candi ini dikelilingi oleh hutan hijau yang menciptakan suasana damai. Keindahan strukturnya tercermin dalam perpaduan antara arsitektur Indonesia dan seni India.",0.07698214791400607,"[0.1323529411764706, 0.04477611940298507]",1.0,5.230769230769231,68,13,0.19444444444444445,0.05714285714285715,0.13888888888888887,0.13888888888888887,[0.8002362847328186],15.72798204421997
25,"Bagaimana deskripsi suasana di sekitar Candi Borobudur, khususnya di puncak bukit?"," Candi Borobudur, yang berlokasi di Magelang, Jawa Tengah, Indonesia, terletak di puncak bukit yang dikelilingi oleh hutan hijau yang menciptakan suasana damai. Keindahan strukturnya tercermin dalam perpaduan antara arsitektur Indonesia dan seni India. Terdiri dari sembilan platform bertingkat, setiap tingkatnya dihiasi dengan relief batu kompleks yang menceritakan ajaran Buddha dan cerita rakyat Jawa. Kompleks ini terdiri dari enam teras berbentuk bujur sangkar dengan tiga pelataran melingkar, dihiasi dengan 2.672 panel relief, dan aslinya mengandung 504 arca Buddha. Stupa utama terbesar berada di tengah, memuncakkan bangunan ini, dikelilingi oleh tiga baris melingkar 72 stupa berlubang yang menampung arca Buddha tengah duduk dalam posisi teratai dengan mudra Dharmachakra (memutar roda dharma).",0.09016114605562929,"[0.112, 0.07258064516129033]",1.0,7.352941176470588,125,17,0.192,0.11382113821138211,0.17600000000000002,0.17600000000000002,[0.5992929935455322],26.965212106704712
26,Apa yang membuat Candi Borobudur menjadi sebuah keajaiban arsitektur?," Candi Borobudur menjadi sebuah keajaiban arsitektur karena beberapa alasan. Pertama, struktur candi ini sangat kompleks dan rumit, dengan 2.672 panel relief yang menggambarkan ajaran Buddha dan cerita rakyat Jawa. Kedua, candi ini mengandung 504 arca Buddha yang ditempatkan dalam 72 stupa berlubang. Ketiga, candi ini memiliki desain yang unik dan menarik, dengan struktur yang terdiri dari enam teras berbentuk bujur sangkar dan tiga pelataran melingkar. Keempat, candi ini memiliki nilai sejarah yang tinggi, karena didirikan pada abad ke-9 oleh Dinasti Sailendra dan memiliki nilai budaya yang sangat penting bagi masyarakat Indonesia. Kelima, candi ini memiliki nilai estetika yang tinggi, dengan desain yang sangat indah dan menarik, serta memiliki nilai seni yang sangat tinggi.",0.0516210100847566,"[0.08527131782945736, 0.03125]",1.0,8.6,129,15,0.15503875968992248,0.06299212598425197,0.15503875968992248,0.15503875968992248,[0.8278928399085999],24.585540771484375
27,Berapa jumlah platform bertingkat yang dimiliki oleh Candi Borobudur?, Candi Borobudur memiliki sembilan platform bertingkat.,1.0,"[1.0, 1.0]",1.0,1.0,7,7,1.0,1.0,1.0,1.0,[0.9999998807907104],4.961181879043579
28,Apa yang dihiasi oleh relief batu yang kompleks di setiap tingkat Candi Borobudur?," Relief batu yang kompleks di setiap tingkat Candi Borobudur menghiasi cerita ajaran Buddha dan cerita rakyat Jawa. Relief-relief ini menceritakan tentang kehidupan Buddha, perjalanan spiritualnya, dan ajaran-ajarannya. Relief-relief ini juga menggambarkan cerita rakyat Jawa, seperti cerita tentang Roro Jonggrang, yang juga dihiasi dengan relief batu yang kompleks.",0.19425717247145283,"[0.2222222222222222, 0.16981132075471697]",1.0,4.5,54,12,0.36065573770491804,0.27118644067796605,0.32786885245901637,0.32786885245901637,[0.9116579294204712],12.772595643997192
29,Bagaimana struktur kompleks Candi Borobudur terdiri?," Candi Borobudur terdiri dari sembilan platform bertingkat, setiap tingkatnya dihiasi dengan relief batu kompleks yang menceritakan ajaran Buddha dan cerita rakyat Jawa. Kompleks ini terdiri dari enam teras berbentuk bujur sangkar dengan tiga pelataran melingkar, dihiasi dengan 2.672 panel relief, dan aslinya mengandung 504 arca Buddha. Stupa utama terbesar berada di tengah, memuncakkan bangunan ini, dikelilingi oleh tiga baris melingkar 72 stupa berlubang yang menampung arca Buddha tengah duduk dalam posisi teratai dengan mudra Dharmachakra (memutar roda dharma).",0.15333287901436485,"[0.17045454545454544, 0.13793103448275862]",1.0,5.5,88,16,0.2978723404255319,0.2608695652173913,0.2765957446808511,0.2765957446808511,[0.8575857281684875],20.007264375686646
30,Berapa jumlah panel relief yang menghiasi dinding Candi Borobudur?, Candi Borobudur memiliki 2.672 panel relief yang menghiasi dinding candi tersebut.,0.3692744729379982,"[0.5, 0.2727272727272727]",1.0,1.3333333333333333,12,9,0.6666666666666666,0.5263157894736842,0.5714285714285715,0.5714285714285715,[0.9501838088035583],6.280555248260498
31,Berapa jumlah arca Buddha yang menyertai Candi Borobudur?, Candi Borobudur memiliki 504 arca Buddha.,0.7559289460184544,"[0.8571428571428571, 0.6666666666666666]",1.0,1.0,7,7,0.8333333333333334,0.6,0.8333333333333334,0.8333333333333334,[0.9836323857307434],4.804407596588135
32,Di mana stupa utama terbesar Candi Borobudur berada?," Stupa utama terbesar Candi Borobudur berada di tengah, memuncakkan bangunan ini, dikelilingi oleh tiga baris melingkar 72 stupa berlubang yang menampung arca Buddha tengah duduk dalam posisi teratai dengan mudra Dharmachakra (memutar roda dharma).",0.2699527623995085,"[0.3076923076923077, 0.23684210526315788]",1.0,3.0,39,13,0.4444444444444445,0.372093023255814,0.4444444444444445,0.4444444444444445,[0.7857094407081604],10.933160543441772
33,Bagaimana stupa utama tersebut dihiasi?," Stupa utama Borobudur dihiasi dengan relief batu yang menceritakan ajaran Buddha dan cerita rakyat Jawa. Relief-relief tersebut menggambarkan adegan-adegan kehidupan Buddha, cerita rakyat Jawa, dan adegan-adegan kehidupan sehari-hari masyarakat pada masa itu. Relief-relief tersebut juga menggambarkan adegan-adegan kehidupan Buddha, seperti adegan perjalanan Buddha ke India, adegan perjalanan Buddha ke Jawa, adegan perjalanan Buddha ke Sri Lanka, dan adegan perjalanan Buddha ke Tibet. Relief-relief tersebut juga menggambarkan adegan-adegan kehidupan Buddha, seperti adegan perjalanan Buddha ke India, adegan perjalanan Buddha ke Jawa, adegan perjalanan Buddha ke Sri Lanka, dan adegan perjalanan Buddha ke Tibet.",0.023218173010628604,"[0.05660377358490566, 0.009523809523809525]",1.0,3.533333333333333,106,30,0.07874015748031496,0.016,0.06299212598425197,0.06299212598425197,[0.6074555516242981],23.219264268875122
34,Siapa yang menemukan kembali keberadaan Candi Borobudur pada tahun 1814?," Sir Thomas Stamford Raffles, Gubernur Jenderal Inggris di Jawa, yang saat itu menjabat.",0.25,"[0.3125, 0.2]",1.0,1.2307692307692308,16,13,0.32,0.2608695652173913,0.32,0.32,[0.6386837363243103],7.347723722457886
35,Apa jabatan dari Sir Thomas Stamford Raffles?, Raffles adalah Gubernur Jenderal Inggris di Jawa pada tahun 1814.,0.4264014327112209,"[0.45454545454545453, 0.4]",1.0,2.2,11,5,0.6666666666666666,0.6153846153846153,0.6666666666666666,0.6666666666666666,[0.6960520148277283],6.353510141372681
36,Apa posisi dan mudra yang ditunjukkan oleh arca Buddha di dalam 72 stupa berlubang?, Arca Buddha di dalam 72 stupa berlubang menunjukkan posisi dan mudra Dharmachakra (memutar roda dharma).,0.6215825949688581,"[0.8333333333333334, 0.6470588235294118]",0.846481724890614,0.8571428571428571,18,21,0.7272727272727272,0.5161290322580646,0.7272727272727272,0.7272727272727272,[0.922882616519928],6.505346059799194
37,Kapan Candi Borobudur ditinggalkan?, Candi Borobudur ditinggalkan pada abad ke-10 saat pusat Kerajaan Mataram Kuno dipindahkan ke Jawa Timur oleh Pu Sindok.,0.2961744388795462,"[0.3157894736842105, 0.2777777777777778]",1.0,3.1666666666666665,19,6,0.5384615384615384,0.5,0.5384615384615384,0.5384615384615384,[0.8172261714935303],7.955918312072754
38,Mengapa Candi Borobudur ditinggalkan, Candi Borobudur ditinggalkan pada abad ke-10 saat pusat Kerajaan Mataram Kuno dipindahkan ke Jawa Timur oleh Pu Sindok.,0.8706138796104296,"[0.9473684210526315, 0.8888888888888888]",0.9487294800164372,0.95,19,20,0.9230769230769231,0.8648648648648649,0.9230769230769231,0.9230769230769231,[0.9908119440078735],7.160118579864502
39,Apa peran Candi Borobudur dalam kehidupan keagamaan saat ini?," Candi Borobudur memainkan peran penting dalam kehidupan keagamaan saat ini. Sebagai salah satu situs warisan budaya dunia, Borobudur telah menjadi tempat ziarah keagamaan bagi umat Buddha dari seluruh Indonesia dan luar negeri. Selain itu, candi ini juga menjadi tempat wisata yang populer, di mana setiap tahun umat Buddha dari seluruh Indonesia dan luar negeri berkumpul untuk merayakan Trisuci Waisak. Borobudur juga menjadi sumber inspirasi bagi para seniman dan budayawan dalam mengembangkan karya-karya seni dan budaya yang berkaitan dengan agama Buddha.",0.19822791512600968,"[0.2413793103448276, 0.16279069767441862]",1.0,3.3461538461538463,87,26,0.34615384615384615,0.2352941176470588,0.34615384615384615,0.34615384615384615,[0.8755431771278381],18.10405683517456
40,Dimana letak Candi Borobudur?," Candi Borobudur terletak di Magelang, Jawa Tengah, Indonesia.",0.9045340337332909,"[0.9090909090909091, 0.9]",1.0,1.1,11,10,1.0,1.0,1.0,1.0,[0.9973240494728088],5.665050268173218
41,Kapan Candi Borobudur dibangun?, Candi Borobudur dibangun pada abad ke-9 oleh Dinasti Sailendra.,0.5773502691896258,"[0.6, 0.5555555555555556]",1.0,1.6666666666666667,10,6,0.8235294117647058,0.8,0.8235294117647058,0.8235294117647058,[0.8774054646492004],5.522409915924072
42,Siapa yang membangun Candi Borobudur?, Candi Borobudur dibangun oleh Dinasti Sailendra pada abad ke-9.,0.5773502691896258,"[0.6, 0.5555555555555556]",1.0,1.6666666666666667,10,6,0.7499999999999999,0.7142857142857143,0.7499999999999999,0.7499999999999999,[0.9621791243553162],6.308614015579224
43,Apa fungsi utama Candi Borobudur?," Candi Borobudur adalah sebuah monumen bersejarah yang merupakan simbol kekayaan budaya Indonesia. Fungsi utama candi ini adalah sebagai tempat ibadah Buddha, tetapi juga memiliki nilai arsitektur yang luar biasa. Candi ini terletak di puncak bukit yang dikelilingi oleh pepohonan hijau, dan memiliki sembilan tingkat yang dihiasi dengan relief batu yang kompleks. Relief-relief ini menggambarkan ajaran Buddha dan cerita rakyat Jawa. Kompleks candi terdiri dari enam teras berbentuk bujur sangkar dengan tiga pelataran melingkar. Dindingnya dihiasi dengan 2.672 panel relief, dan aslinya memiliki 504 arca Buddha. Stupa utama terbesar berada di tengah, dikelilingi oleh tiga barisan melingkar 72 stupa berlubang yang menampung arca Buddha tengah duduk bersila dalam posisi teratai sempurna dengan mudra Dharmachakra (memutar roda dharma).",0.041179320466813524,"[0.05426356589147287, 0.03125]",1.0,16.125,129,8,0.11111111111111112,0.06451612903225806,0.11111111111111112,0.11111111111111112,"{'error': 'Model firqaaa/indo-sentence-bert-base is currently loading', 'estimated_time': 20.0}",27.38177752494812
44,"Selain menjadi tempat ibadah ajaran Buddha, apa fungsi Candi Borobudur?"," Candi Borobudur tidak hanya berfungsi sebagai tempat ibadah ajaran Buddha, tetapi juga memiliki nilai arsitektur yang luar biasa. Candi ini dibangun pada abad ke-9 oleh Dinasti Sailendra dan awalnya berfungsi sebagai tempat ibadah Buddha. Namun, candi ini juga memiliki nilai sejarah dan budaya yang sangat tinggi. Candi Borobudur terletak di puncak bukit yang dikelilingi oleh pepohonan hijau, dan memiliki sembilan tingkat yang dihiasi dengan relief batu yang kompleks. Relief-relief ini menggambarkan ajaran Buddha dan cerita rakyat Jawa. Candi ini memiliki nilai sejarah dan budaya yang sangat tinggi dan masih menjadi salah satu destinasi wisata paling populer di Indonesia.",0.06228472004925022,"[0.102803738317757, 0.03773584905660377]",1.0,8.23076923076923,107,13,0.16216216216216217,0.07339449541284405,0.10810810810810809,0.10810810810810809,[0.826574444770813],21.734773635864258
45,"Bagaimana deskripsi suasana di sekitar Candi Borobudur, khususnya di puncak bukit?"," Candi Borobudur terletak di puncak bukit yang dikelilingi oleh pepohonan hijau. Suasana di sekitar candi ini sangat indah dan tenang. Puncak bukit ini dikelilingi oleh pepohonan hijau yang membuat suasana menjadi sangat damai dan tenang. Di sekitar candi ini, terdapat beberapa tempat ziarah dan tempat-tempat lain yang digunakan oleh umat Buddha untuk melakukan ritual dan kegiatan keagamaan. Suasana di sekitar candi ini sangat indah dan membuat kita merasa tenang dan damai.",0.12940792666314374,"[0.18181818181818182, 0.09210526315789473]",1.0,4.529411764705882,77,17,0.27586206896551724,0.16470588235294117,0.25287356321839083,0.25287356321839083,[0.8141402006149292],16.74501919746399
46,Apa yang membuat Candi Borobudur menjadi sebuah keajaiban arsitektur?," Candi Borobudur menjadi sebuah keajaiban arsitektur karena beberapa alasan. Pertama, desainnya yang unik dan kompleks, yang menggabungkan elemen arsitektur India dan seni Indonesia. Kedua, relief-relief yang dihiasi pada dinding candi ini yang menggambarkan ajaran Buddha dan cerita rakyat Jawa. Ketiga, keindahan struktur candi ini yang terdiri dari enam teras berbentuk bujur sangkar dengan tiga pelataran melingkar. Keempat, kompleks candi ini yang memiliki 2.672 panel relief, dan aslinya memiliki 504 arca Buddha. Kelima, candi ini yang ditinggalkan pada abad ke-10 ketika pusat Kerajaan Mataram Kuno dipindahkan ke Jawa Timur. Keenam, Candi Borobudur yang ditemukan kembali pada tahun 1814 oleh Sir Thomas Stamford Raffles, yang saat itu menjabat sebagai Gubernur Jenderal Inggris di Jawa. Kejelapannya selama berabad-abad membuat candi ini menjadi salah satu destinasi wisata paling populer di Indonesia.",0.05618332187193684,"[0.09027777777777778, 0.03496503496503497]",1.0,9.6,144,15,0.16551724137931034,0.06993006993006992,0.13793103448275862,0.13793103448275862,[0.7976046204566956],28.594773769378662
